攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
PEZ,-0.454,0.0089,显著 (p<0.05),-0.681,0.0019,显著 (p<0.05),69.500,0.0118,显著 (p<0.05),6.869,0.0322,显著 (p<0.05)
UAT,-0.409,0.0186,显著 (p<0.05),-0.592,0.0097,显著 (p<0.05),65.000,0.0339,显著 (p<0.05),5.073,0.0791,不显著
GBDA,-0.472,0.0063,显著 (p<0.05),-0.647,0.0037,显著 (p<0.05),66.000,0.0273,显著 (p<0.05),6.193,0.0452,显著 (p<0.05)
DirectRequest,-0.066,0.7042,不显著,-0.159,0.5295,不显著,46.500,0.6269,不显著,0.352,0.8388,不显著
HumanJailbreaks,-0.145,0.4037,不显著,-0.271,0.2771,不显著,47.500,0.5656,不显著,0.508,0.7757,不显著
AutoDAN,0.336,0.0530,不显著,0.432,0.0735,不显著,20.500,0.0849,不显著,3.298,0.1922,不显著
PAP,0.099,0.5688,不显著,0.152,0.5471,不显著,37.500,0.8250,不显著,1.830,0.4005,不显著
GCG,-0.066,0.7037,不显著,-0.068,0.7876,不显著,42.000,0.9295,不显著,0.035,0.9825,不显著
AutoPrompt,-0.319,0.0679,不显著,-0.452,0.0594,不显著,60.000,0.0926,不显著,2.998,0.2234,不显著
average,-0.302,0.0812,不显著,-0.441,0.0670,不显著,58.000,0.1333,不显著,2.390,0.3027,不显著
