攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,-0.491,0.0000,显著 (p<0.05),-0.711,0.0000,显著 (p<0.05),643.500,0.0000,显著 (p<0.05),21.591,0.0000,显著 (p<0.05)
AutoDAN,0.313,0.0011,显著 (p<0.05),0.461,0.0005,显著 (p<0.05),143.500,0.0002,显著 (p<0.05),15.662,0.0004,显著 (p<0.05)
AutoPrompt,-0.358,0.0002,显著 (p<0.05),-0.528,0.0000,显著 (p<0.05),584.000,0.0000,显著 (p<0.05),12.347,0.0021,显著 (p<0.05)
PEZ,-0.454,0.0000,显著 (p<0.05),-0.647,0.0000,显著 (p<0.05),621.000,0.0000,显著 (p<0.05),19.030,0.0001,显著 (p<0.05)
UAT,-0.457,0.0000,显著 (p<0.05),-0.675,0.0000,显著 (p<0.05),643.000,0.0000,显著 (p<0.05),18.765,0.0001,显著 (p<0.05)
GBDA,-0.462,0.0000,显著 (p<0.05),-0.636,0.0000,显著 (p<0.05),600.500,0.0000,显著 (p<0.05),18.961,0.0001,显著 (p<0.05)
average,-0.326,0.0006,显著 (p<0.05),-0.479,0.0003,显著 (p<0.05),546.000,0.0005,显著 (p<0.05),11.105,0.0039,显著 (p<0.05)
HumanJailbreaks,-0.166,0.0815,不显著,-0.247,0.0746,不显著,464.000,0.0453,显著 (p<0.05),2.281,0.3197,不显著
PAP,-0.024,0.8000,不显著,-0.040,0.7787,不显著,371.000,0.7285,不显著,3.046,0.2181,不显著
GCG,-0.147,0.1260,不显著,-0.211,0.1301,不显著,448.000,0.0854,不显著,2.269,0.3215,不显著
