攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,0.481,0.0000,显著 (p<0.05),0.676,0.0000,显著 (p<0.05),128.500,0.0002,显著 (p<0.05),24.537,0.0000,显著 (p<0.05)
HumanJailbreaks,0.407,0.0000,显著 (p<0.05),0.562,0.0000,显著 (p<0.05),164.000,0.0018,显著 (p<0.05),12.030,0.0024,显著 (p<0.05)
AutoDAN,0.536,0.0000,显著 (p<0.05),0.704,0.0000,显著 (p<0.05),138.000,0.0003,显著 (p<0.05),19.970,0.0000,显著 (p<0.05)
PAP,0.614,0.0000,显著 (p<0.05),0.803,0.0000,显著 (p<0.05),73.000,0.0000,显著 (p<0.05),24.566,0.0000,显著 (p<0.05)
GCG,0.493,0.0000,显著 (p<0.05),0.694,0.0000,显著 (p<0.05),102.000,0.0000,显著 (p<0.05),20.027,0.0000,显著 (p<0.05)
AutoPrompt,0.622,0.0000,显著 (p<0.05),0.802,0.0000,显著 (p<0.05),59.000,0.0000,显著 (p<0.05),27.264,0.0000,显著 (p<0.05)
PEZ,0.558,0.0000,显著 (p<0.05),0.759,0.0000,显著 (p<0.05),61.500,0.0000,显著 (p<0.05),25.389,0.0000,显著 (p<0.05)
UAT,0.556,0.0000,显著 (p<0.05),0.746,0.0000,显著 (p<0.05),69.500,0.0000,显著 (p<0.05),25.455,0.0000,显著 (p<0.05)
GBDA,0.577,0.0000,显著 (p<0.05),0.777,0.0000,显著 (p<0.05),89.000,0.0000,显著 (p<0.05),25.403,0.0000,显著 (p<0.05)
average,0.606,0.0000,显著 (p<0.05),0.792,0.0000,显著 (p<0.05),77.000,0.0000,显著 (p<0.05),26.695,0.0000,显著 (p<0.05)
