攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,0.614,0.0000,显著 (p<0.05),0.807,0.0000,显著 (p<0.05),58.000,0.0000,显著 (p<0.05),33.885,0.0000,显著 (p<0.05)
HumanJailbreaks,0.432,0.0000,显著 (p<0.05),0.626,0.0000,显著 (p<0.05),139.000,0.0002,显著 (p<0.05),19.684,0.0001,显著 (p<0.05)
AutoDAN,0.537,0.0000,显著 (p<0.05),0.732,0.0000,显著 (p<0.05),88.000,0.0000,显著 (p<0.05),29.246,0.0000,显著 (p<0.05)
PAP,0.535,0.0000,显著 (p<0.05),0.749,0.0000,显著 (p<0.05),99.000,0.0000,显著 (p<0.05),32.442,0.0000,显著 (p<0.05)
GCG,0.481,0.0000,显著 (p<0.05),0.680,0.0000,显著 (p<0.05),123.500,0.0001,显著 (p<0.05),25.429,0.0000,显著 (p<0.05)
AutoPrompt,0.618,0.0000,显著 (p<0.05),0.815,0.0000,显著 (p<0.05),59.500,0.0000,显著 (p<0.05),34.806,0.0000,显著 (p<0.05)
PEZ,0.638,0.0000,显著 (p<0.05),0.827,0.0000,显著 (p<0.05),66.000,0.0000,显著 (p<0.05),36.947,0.0000,显著 (p<0.05)
UAT,0.573,0.0000,显著 (p<0.05),0.773,0.0000,显著 (p<0.05),81.500,0.0000,显著 (p<0.05),33.868,0.0000,显著 (p<0.05)
GBDA,0.607,0.0000,显著 (p<0.05),0.813,0.0000,显著 (p<0.05),63.000,0.0000,显著 (p<0.05),34.570,0.0000,显著 (p<0.05)
average,0.644,0.0000,显著 (p<0.05),0.846,0.0000,显著 (p<0.05),59.000,0.0000,显著 (p<0.05),36.889,0.0000,显著 (p<0.05)
