模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.171,0.037,0.143,0.303,0.071,0.057,0.06,0.069,0.057,0.10755555555555556
llama3_2_3b_instruct,0.171,0.111,0.043,0.311,0.114,0.129,0.086,0.111,0.114,0.13222222222222224
DeepSeek-R1-Distill-Qwen-1.5B,0.029,0.029,0.057,0.103,0.029,0.029,0.023,0.043,0.014,0.03955555555555555
DeepSeek-R1-Distill-Qwen-7B,0.129,0.086,0.1,0.169,0.071,0.043,0.043,0.031,0.057,0.081
qwen_1_8b_chat,0.114,0.077,0.086,0.26,0.057,0.071,0.071,0.091,0.1,0.103
qwen_7b_chat,0.1,0.091,0.186,0.186,0.071,0.129,0.094,0.114,0.129,0.12222222222222223
qwen1_5_0_5b_chat,0.1,0.083,0.043,0.231,0.057,0.043,0.071,0.08,0.043,0.08344444444444445
qwen1_5_1_8b_chat,0.171,0.163,0.157,0.326,0.057,0.071,0.117,0.103,0.1,0.14055555555555557
qwen1_5_4b_chat,0.086,0.131,0.186,0.28,0.057,0.071,0.083,0.123,0.114,0.1256666666666667
qwen1_5_7b_chat,0.143,0.174,0.243,0.303,0.043,0.071,0.097,0.126,0.086,0.1428888888888889
qwen2_0_5b_instruct,0.086,0.094,0.086,0.22,0.057,0.043,0.054,0.069,0.043,0.08355555555555555
qwen2_1_5b_instruct,0.071,0.106,0.171,0.243,0.057,0.043,0.06,0.1,0.071,0.10244444444444444
qwen2_7b_instruct,0.186,0.149,0.214,0.291,0.129,0.143,0.109,0.123,0.143,0.16522222222222221
qwen2_5_0_5b_instruct,0.071,0.074,0.143,0.254,0.057,0.1,0.069,0.08,0.086,0.10377777777777779
qwen2_5_1_5b_instruct,0.071,0.063,0.171,0.269,0.086,0.043,0.026,0.071,0.071,0.09677777777777778
qwen2_5_3b_instruct,0.129,0.123,0.2,0.309,0.071,0.043,0.08,0.106,0.086,0.12744444444444444
qwen2_5_7b_instruct,0.186,0.149,0.214,0.306,0.129,0.086,0.097,0.12,0.129,0.15733333333333333
gemma-2b-it,0.129,0.006,0.014,0.229,0.057,0.029,0.029,0.051,0.014,0.062000000000000006
gemma-7b-it,0.186,0.069,0.129,0.303,0.057,0.029,0.026,0.051,0.1,0.10555555555555557
gemma-1.1-2b-it,0.171,0.037,0.1,0.249,0.014,0.043,0.026,0.057,0.043,0.08222222222222222
gemma-1.1-7b-it,0.186,0.086,0.214,0.269,0.086,0.014,0.066,0.06,0.071,0.11688888888888889
gemma-2-2b-it,0.129,0.137,0.229,0.197,0.086,0.143,0.1,0.089,0.1,0.13444444444444448
phi_3_mini_4k_instruct,0.143,0.086,0.129,0.246,0.143,0.057,0.077,0.071,0.157,0.12322222222222222
phi_3_mini_128k_instruct,0.143,0.151,0.229,0.246,0.1,0.071,0.083,0.071,0.086,0.1311111111111111
phi_3_5_mini_instruct,0.157,0.131,0.157,0.26,0.129,0.129,0.091,0.091,0.129,0.14155555555555555
minicpm-1B-sft-bf16,0.143,0.111,0.186,0.243,0.029,0.014,0.071,0.08,0.014,0.099
minicpm-S-1B-sft,0.143,0.126,0.171,0.234,0.014,0.029,0.051,0.051,0.029,0.09422222222222223
minicpm-2B-sft-bf16,0.143,0.094,0.186,0.249,0.1,0.071,0.103,0.089,0.1,0.12611111111111112
minicpm-2B-dpo-bf16,0.186,0.171,0.2,0.309,0.157,0.114,0.134,0.129,0.143,0.17144444444444443
minicpm3-4B,0.129,0.134,0.214,0.257,0.014,0.014,0.069,0.063,0.086,0.10888888888888888
h2o-danube-1.8b-sft,0.157,0.111,0.086,0.254,0.086,0.086,0.086,0.089,0.1,0.11722222222222221
