模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.243,0.069,0.329,0.383,0.0,0.0,0.003,0.014,0.0,0.11566666666666665
llama3_2_3b_instruct,0.3,0.217,0.086,0.417,0.014,0.0,0.0,0.014,0.0,0.11644444444444445
DeepSeek-R1-Distill-Qwen-1.5B,0.271,0.283,0.257,0.203,0.0,0.0,0.037,0.143,0.029,0.13588888888888886
DeepSeek-R1-Distill-Qwen-7B,0.5,0.351,0.471,0.291,0.086,0.057,0.077,0.106,0.171,0.23444444444444443
qwen_1_8b_chat,0.143,0.186,0.271,0.394,0.014,0.0,0.111,0.166,0.129,0.15711111111111112
qwen_7b_chat,0.086,0.294,0.529,0.217,0.029,0.014,0.057,0.094,0.086,0.1562222222222222
qwen1_5_0_5b_chat,0.129,0.237,0.257,0.369,0.043,0.014,0.117,0.177,0.357,0.18888888888888888
qwen1_5_1_8b_chat,0.557,0.423,0.729,0.514,0.029,0.0,0.411,0.297,0.143,0.34477777777777774
qwen1_5_4b_chat,0.114,0.286,0.686,0.411,0.057,0.029,0.106,0.263,0.043,0.22166666666666665
qwen1_5_7b_chat,0.2,0.563,0.771,0.426,0.043,0.029,0.043,0.089,0.029,0.24366666666666667
qwen2_0_5b_instruct,0.1,0.189,0.414,0.346,0.0,0.0,0.063,0.194,0.057,0.15144444444444444
qwen2_1_5b_instruct,0.1,0.18,0.657,0.374,0.0,0.0,0.02,0.049,0.071,0.16122222222222224
qwen2_7b_instruct,0.214,0.274,0.743,0.434,0.029,0.0,0.057,0.106,0.114,0.219
qwen2_5_0_5b_instruct,0.129,0.134,0.586,0.366,0.014,0.0,0.086,0.131,0.043,0.16544444444444442
qwen2_5_1_5b_instruct,0.071,0.177,0.743,0.346,0.029,0.029,0.009,0.174,0.071,0.1832222222222222
qwen2_5_3b_instruct,0.129,0.311,0.729,0.446,0.043,0.0,0.054,0.106,0.043,0.20677777777777778
qwen2_5_7b_instruct,0.229,0.397,0.814,0.434,0.043,0.043,0.126,0.12,0.071,0.253
gemma-2b-it,0.143,0.011,0.071,0.38,0.0,0.0,0.023,0.031,0.057,0.07955555555555556
gemma-7b-it,0.286,0.157,0.314,0.406,0.0,0.0,0.003,0.051,0.171,0.1542222222222222
gemma-1.1-2b-it,0.214,0.046,0.214,0.374,0.0,0.0,0.031,0.103,0.114,0.12177777777777779
gemma-1.1-7b-it,0.229,0.18,0.557,0.309,0.0,0.0,0.0,0.066,0.129,0.16333333333333336
gemma-2-2b-it,0.129,0.374,0.857,0.266,0.0,0.0,0.02,0.069,0.029,0.19377777777777774
phi_3_mini_4k_instruct,0.157,0.149,0.171,0.294,0.0,0.0,0.02,0.037,0.043,0.09677777777777777
phi_3_mini_128k_instruct,0.171,0.294,0.329,0.303,0.0,0.0,0.017,0.017,0.043,0.13044444444444445
phi_3_5_mini_instruct,0.186,0.277,0.271,0.326,0.0,0.0,0.014,0.011,0.029,0.12377777777777776
minicpm-1B-sft-bf16,0.2,0.366,0.686,0.431,0.0,0.0,0.371,0.149,0.214,0.2685555555555556
minicpm-S-1B-sft,0.2,0.434,0.543,0.38,0.0,0.0,0.431,0.146,0.143,0.25299999999999995
