模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.114,0.049,0.086,0.229,0.029,0.057,0.043,0.017,0.043,0.07411111111111111
llama3_2_3b_instruct,0.2,0.057,0.157,0.32,0.057,0.071,0.091,0.086,0.043,0.1202222222222222
DeepSeek-R1-Distill-Qwen-1.5B,0.086,0.089,0.071,0.074,0.086,0.043,0.04,0.043,0.043,0.06388888888888888
DeepSeek-R1-Distill-Qwen-7B,0.229,0.243,0.229,0.231,0.129,0.2,0.174,0.149,0.086,0.18555555555555556
qwen_1_8b_chat,0.186,0.114,0.043,0.16,0.186,0.186,0.163,0.203,0.214,0.16166666666666668
qwen_7b_chat,0.114,0.094,0.157,0.249,0.2,0.243,0.2,0.237,0.157,0.18344444444444447
qwen1_5_0_5b_chat,0.029,0.043,0.014,0.091,0.071,0.1,0.049,0.054,0.043,0.05488888888888889
qwen1_5_1_8b_chat,0.429,0.263,0.314,0.346,0.314,0.343,0.346,0.346,0.4,0.3445555555555555
qwen1_5_4b_chat,0.1,0.063,0.3,0.277,0.143,0.143,0.174,0.214,0.2,0.17933333333333332
qwen1_5_7b_chat,0.2,0.343,0.7,0.414,0.257,0.243,0.271,0.306,0.2,0.326
qwen2_0_5b_instruct,0.029,0.086,0.0,0.083,0.071,0.086,0.054,0.037,0.043,0.054333333333333324
qwen2_1_5b_instruct,0.143,0.106,0.171,0.294,0.171,0.086,0.106,0.134,0.086,0.1441111111111111
qwen2_7b_instruct,0.2,0.186,0.6,0.431,0.229,0.214,0.191,0.223,0.214,0.27644444444444444
qwen2_5_0_5b_instruct,0.086,0.066,0.014,0.174,0.129,0.143,0.111,0.134,0.114,0.10788888888888888
qwen2_5_1_5b_instruct,0.1,0.063,0.286,0.349,0.086,0.171,0.111,0.154,0.086,0.15622222222222223
qwen2_5_3b_instruct,0.157,0.183,0.571,0.474,0.214,0.214,0.174,0.223,0.129,0.2598888888888889
qwen2_5_7b_instruct,0.214,0.269,0.871,0.446,0.229,0.229,0.129,0.163,0.186,0.304
gemma-2b-it,0.243,0.049,0.143,0.294,0.271,0.2,0.226,0.269,0.171,0.20733333333333331
gemma-7b-it,0.314,0.063,0.114,0.386,0.043,0.143,0.174,0.22,0.057,0.16822222222222222
gemma-1.1-2b-it,0.229,0.094,0.171,0.289,0.357,0.357,0.311,0.346,0.214,0.2631111111111111
gemma-1.1-7b-it,0.257,0.126,0.586,0.343,0.157,0.1,0.246,0.217,0.071,0.2336666666666667
gemma-2-2b-it,0.129,0.074,0.314,0.274,0.114,0.1,0.146,0.117,0.086,0.1504444444444445
phi_3_mini_4k_instruct,0.186,,0.0,0.226,0.143,0.2,0.177,0.189,0.214,0.166875
phi_3_mini_128k_instruct,0.171,,0.071,0.237,0.157,0.214,0.154,0.16,0.086,0.15625000000000003
phi_3_5_mini_instruct,0.1,,0.129,0.246,0.186,0.143,0.117,0.109,0.143,0.14662499999999998
minicpm-1B-sft-bf16,0.386,0.226,0.257,0.294,0.286,0.229,0.189,0.106,0.114,0.23188888888888887
minicpm-S-1B-sft,0.3,0.223,0.314,0.303,0.371,0.414,0.334,0.377,0.343,0.331
minicpm-2B-sft-bf16,0.229,0.189,0.329,0.374,0.114,0.157,0.203,0.177,0.114,0.20955555555555558
minicpm-2B-dpo-bf16,0.443,0.406,0.586,0.434,0.5,0.486,0.371,0.349,0.4,0.44166666666666665
minicpm3-4B,0.2,0.057,0.086,0.317,0.029,0.057,0.151,0.277,0.171,0.14944444444444444
h2o-danube-1.8b-sft,0.243,0.169,0.071,0.197,0.229,0.271,0.251,0.303,0.3,0.22599999999999998
h2o-danube-1.8b-chat,0.329,0.257,0.271,0.317,0.314,0.329,0.331,0.306,0.286,0.30444444444444446
h2o-danube2-1.8b-sft,0.371,0.36,0.229,0.354,0.414,0.329,0.289,0.266,0.271,0.32033333333333336
h2o-danube2-1.8b-chat,0.371,0.377,0.4,0.371,0.357,0.457,0.42,0.403,0.4,0.39511111111111114
h2o-danube3-500m-chat,0.186,0.029,0.0,0.117,0.1,0.129,0.131,0.163,0.114,0.10766666666666666
h2o-danube3-4b-chat,0.314,0.331,0.486,0.477,0.457,0.4,0.423,0.391,0.471,0.4166666666666667
smollm-135M-instruct,0.086,0.026,0.0,0.046,0.029,0.057,0.049,0.029,0.014,0.03733333333333333
smollm-360M-instruct,0.214,0.049,0.0,0.106,0.114,0.1,0.103,0.097,0.086,0.09655555555555556
smollm-1.7B-instruct,0.3,0.171,0.029,0.229,0.157,0.229,0.209,0.174,0.229,0.1918888888888889
smollm2-135M-instruct,0.0,0.017,0.014,0.023,0.029,0.014,0.026,0.023,0.043,0.021
