模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.157,0.063,0.043,0.314,0.043,0.1,0.057,0.089,0.086,0.10577777777777778
llama3_2_3b_instruct,0.229,0.126,0.086,0.366,0.186,0.157,0.191,0.194,0.229,0.196
DeepSeek-R1-Distill-Qwen-1.5B,0.229,0.217,0.243,0.174,0.286,0.286,0.197,0.197,0.214,0.227
DeepSeek-R1-Distill-Qwen-7B,0.3,0.217,0.343,0.257,0.314,0.371,0.243,0.286,0.286,0.2907777777777778
qwen_1_8b_chat,0.043,0.149,0.186,0.354,0.114,0.129,0.123,0.223,0.057,0.1531111111111111
qwen_7b_chat,0.029,0.231,0.5,0.103,0.314,0.057,0.029,0.049,0.043,0.15055555555555555
qwen1_5_0_5b_chat,0.114,0.171,0.129,0.337,0.5,0.443,0.386,0.417,0.386,0.32033333333333336
qwen1_5_1_8b_chat,0.486,0.469,0.743,0.5,0.686,0.6,0.566,0.583,0.543,0.5751111111111111
qwen1_5_4b_chat,0.057,0.22,0.643,0.269,0.3,0.157,0.077,0.137,0.1,0.2177777777777778
qwen1_5_7b_chat,0.086,0.463,0.786,0.314,0.157,0.129,0.106,0.137,0.071,0.2498888888888889
qwen2_0_5b_instruct,0.143,0.14,0.429,0.271,0.471,0.4,0.223,0.323,0.243,0.29366666666666663
qwen2_1_5b_instruct,0.057,0.106,0.657,0.203,0.171,0.071,0.043,0.109,0.071,0.16533333333333336
qwen2_7b_instruct,0.186,0.203,0.643,0.366,0.214,0.186,0.169,0.2,0.214,0.26455555555555554
qwen2_5_0_5b_instruct,0.171,0.094,0.614,0.311,0.457,0.4,0.157,0.36,0.371,0.32611111111111113
qwen2_5_1_5b_instruct,0.057,0.083,0.671,0.157,0.257,0.043,0.023,0.074,0.057,0.15800000000000003
qwen2_5_3b_instruct,0.143,0.22,0.514,0.351,0.2,0.157,0.091,0.131,0.114,0.21344444444444444
qwen2_5_7b_instruct,0.229,0.234,0.614,0.386,0.271,0.229,0.154,0.169,0.243,0.28099999999999997
gemma-2b-it,0.114,0.006,0.129,0.286,0.286,0.157,0.091,0.103,0.171,0.14922222222222226
gemma-7b-it,0.3,0.16,0.314,0.386,0.243,0.243,0.22,0.271,0.271,0.26755555555555555
gemma-1.1-2b-it,0.114,0.04,0.2,0.266,0.086,0.043,0.097,0.063,0.086,0.11055555555555556
gemma-1.1-7b-it,0.186,0.163,0.471,0.314,0.186,0.1,0.109,0.14,0.086,0.195
gemma-2-2b-it,0.1,0.269,0.714,0.271,0.3,0.143,0.12,0.129,0.214,0.2511111111111111
phi_3_mini_4k_instruct,0.086,0.1,0.143,0.203,0.071,0.071,0.111,0.091,0.071,0.10522222222222222
phi_3_mini_128k_instruct,0.143,0.14,0.057,0.217,0.143,0.114,0.106,0.117,0.057,0.12155555555555554
phi_3_5_mini_instruct,0.157,0.154,0.1,0.3,0.243,0.171,0.177,0.214,0.171,0.18744444444444444
minicpm-1B-sft-bf16,0.157,0.269,0.643,0.34,0.143,0.143,0.197,0.151,0.171,0.246
minicpm-S-1B-sft,0.214,0.311,0.529,0.297,0.214,0.214,0.186,0.166,0.129,0.2511111111111111
