模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.157,0.063,0.043,0.314,0.043,0.1,0.057,0.089,0.086,0.10577777777777778
llama3_2_3b_instruct,0.229,0.126,0.086,0.366,0.186,0.157,0.191,0.194,0.229,0.196
DeepSeek-R1-Distill-Qwen-1.5B,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,,,,,,,,,,
qwen_1_8b_chat,0.043,0.149,0.186,0.354,0.114,0.129,0.123,0.223,0.057,0.1531111111111111
qwen_7b_chat,0.029,0.231,0.5,0.103,0.314,0.057,0.029,0.049,0.043,0.15055555555555555
qwen1_5_0_5b_chat,0.114,0.171,0.129,0.337,0.5,0.443,0.386,0.417,0.386,0.32033333333333336
qwen1_5_1_8b_chat,0.486,0.469,0.743,0.5,0.686,0.6,0.566,0.583,0.543,0.5751111111111111
qwen1_5_4b_chat,0.057,0.22,0.643,0.269,0.3,0.157,0.077,0.137,0.1,0.2177777777777778
qwen1_5_7b_chat,0.086,0.463,0.786,0.314,0.157,0.129,0.106,0.137,0.071,0.2498888888888889
qwen2_0_5b_instruct,0.143,0.14,0.429,0.271,0.471,0.4,0.223,0.323,0.243,0.29366666666666663
qwen2_1_5b_instruct,0.057,0.106,0.657,0.203,0.171,0.071,0.043,0.109,0.071,0.16533333333333336
qwen2_7b_instruct,0.186,0.203,0.643,0.366,0.214,0.186,0.169,0.2,0.214,0.26455555555555554
qwen2_5_0_5b_instruct,0.171,0.094,0.614,0.311,0.457,0.4,0.157,0.36,0.371,0.32611111111111113
qwen2_5_1_5b_instruct,0.057,0.083,0.671,0.157,0.257,0.043,0.023,0.074,0.057,0.15800000000000003
qwen2_5_3b_instruct,0.143,0.22,0.514,0.351,0.2,0.157,0.091,0.131,0.114,0.21344444444444444
qwen2_5_7b_instruct,0.229,0.234,0.614,0.386,0.271,0.229,0.154,0.169,0.243,0.28099999999999997
gemma-2b-it,,,,,,,,,,
gemma-7b-it,,,,,,,,,,
gemma-1.1-2b-it,,,,,,,,,,
gemma-1.1-7b-it,,,,,,,,,,
gemma-2-2b-it,,,,,,,,,,
phi_3_mini_4k_instruct,,,,,,,,,,
phi_3_mini_128k_instruct,,,,,,,,,,
phi_3_5_mini_instruct,,,,,,,,,,
minicpm-1B-sft-bf16,,,,,,,,,,
minicpm-S-1B-sft,,,,,,,,,,
minicpm-2B-sft-bf16,,,,,,,,,,
minicpm-2B-dpo-bf16,,,,,,,,,,
minicpm3-4B,,,,,,,,,,
h2o-danube-1.8b-sft,,,,,,,,,,
h2o-danube-1.8b-chat,,,,,,,,,,
h2o-danube2-1.8b-sft,,,,,,,,,,
h2o-danube2-1.8b-chat,,,,,,,,,,
h2o-danube3-500m-chat,,,,,,,,,,
h2o-danube3-4b-chat,,,,,,,,,,
smollm-135M-instruct,,,,,,,,,,
smollm-360M-instruct,,,,,,,,,,
smollm-1.7B-instruct,,,,,,,,,,
smollm2-135M-instruct,0.286,0.206,0.0,0.226,0.329,0.4,0.277,0.326,0.314,0.26266666666666666
smollm2-360M-instruct,0.486,0.331,0.186,0.266,0.557,0.543,0.471,0.566,0.614,0.4466666666666666
smollm2-1.7B-instruct,0.429,0.423,0.586,0.371,0.714,0.6,0.32,0.506,0.457,0.4895555555555555
stablelm-2-zephyr-1_6b,,,,,,,,,,
stablelm-2-1_6b-chat,,,,,,,,,,
stablelm-zephyr-3b,,,,,,,,,,
tinyllama-1.1B-chat-v0.1,,,,,,,,,,
tinyllama-1.1B-chat-v0.2,,,,,,,,,,
tinyllama-1.1B-chat-v0.3,,,,,,,,,,
tinyllama-1.1B-chat-v0.4,,,,,,,,,,
tinyllama-1.1B-chat-v0.5,,,,,,,,,,
tinyllama-1.1B-chat-v0.6,,,,,,,,,,
tinyllama-1.1B-chat-v1.0,,,,,,,,,,
mobilellama-1.4B-chat,,,,,,,,,,
mobilellama-2.7B-chat,,,,,,,,,,
mobillama-0.5B-chat,,,,,,,,,,
mobillama-1B-chat,,,,,,,,,,
fox-1-1.6B-Instruct-v0.1,,,,,,,,,,
dolly-v1-6b,,,,,,,,,,
dolly-v2-3b,,,,,,,,,,
dolly-v2-7b,,,,,,,,,,
OLMo-7B-SFT-hf,,,,,,,,,,
OLMo-7B-Instruct-hf,,,,,,,,,,
