模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT
llama3_2_1b_instruct,0.214,0.074,0.3,0.36,0.429,0.186,0.086,0.131,0.114
llama3_2_3b_instruct,0.271,0.169,0.1,0.44,0.6,0.357,0.2,0.189,0.286
DeepSeek-R1-Distill-Qwen-1.5B,0.271,0.289,0.257,0.203,0.314,0.286,0.169,0.277,0.329
DeepSeek-R1-Distill-Qwen-7B,0.514,0.36,0.471,0.291,0.571,0.371,0.363,0.389,0.386
qwen_1_8b_chat,0.143,0.18,0.271,0.4,0.386,0.343,0.323,0.451,0.243
qwen_7b_chat,0.086,0.289,0.529,0.234,0.614,0.5,0.209,0.24,0.314
qwen1_5_0_5b_chat,0.114,0.231,0.257,0.363,0.514,0.514,0.483,0.449,0.471
qwen1_5_1_8b_chat,0.529,0.434,0.729,0.511,0.629,0.586,0.643,0.62,0.657
qwen1_5_4b_chat,0.114,0.297,0.686,0.411,0.571,0.4,0.2,0.417,0.414
qwen1_5_7b_chat,0.186,0.563,0.771,0.426,0.671,0.529,0.294,0.351,0.343
qwen2_0_5b_instruct,0.1,0.2,0.414,0.351,0.571,0.357,0.331,0.391,0.343
qwen2_1_5b_instruct,0.1,0.18,0.657,0.366,0.571,0.4,0.137,0.383,0.286
qwen2_7b_instruct,0.214,0.274,0.743,0.449,0.571,0.414,0.206,0.22,0.214
qwen2_5_0_5b_instruct,0.129,0.149,0.586,0.363,0.557,0.414,0.326,0.506,0.443
qwen2_5_1_5b_instruct,0.086,0.177,0.743,0.351,0.571,0.357,0.074,0.346,0.329
qwen2_5_3b_instruct,0.143,0.311,0.729,0.451,0.543,0.343,0.151,0.309,0.3
qwen2_5_7b_instruct,0.257,0.406,0.814,0.44,0.614,0.471,0.257,0.323,0.343
gemma-2b-it,0.143,0.011,0.071,0.389,0.443,0.457,0.437,0.449,0.486
gemma-7b-it,0.271,0.157,0.314,0.414,0.3,0.214,0.271,0.303,0.243
gemma-1.1-2b-it,0.243,0.046,0.214,0.38,0.4,0.343,0.44,0.466,0.443
gemma-1.1-7b-it,0.214,0.183,0.557,0.32,0.329,0.243,0.306,0.351,0.186
gemma-2-2b-it,0.114,0.377,0.857,0.271,0.457,0.2,0.154,0.194,0.186
phi_3_mini_4k_instruct,0.143,0.157,0.171,0.291,0.471,0.186,0.177,0.203,0.171
phi_3_mini_128k_instruct,0.171,0.291,0.329,0.303,0.443,0.243,0.163,0.189,0.2
phi_3_5_mini_instruct,0.2,0.28,0.271,0.326,0.457,0.271,0.217,0.243,0.2
minicpm-1B-sft-bf16,0.229,0.374,0.686,0.429,0.243,0.214,0.437,0.526,0.414
minicpm-S-1B-sft,0.214,0.4,0.543,0.386,0.171,0.186,0.477,0.34,0.4
minicpm-2B-sft-bf16,0.186,0.36,0.786,0.389,0.129,0.186,0.44,0.366,0.243
minicpm-2B-dpo-bf16,0.457,0.543,0.829,0.497,0.5,0.471,0.706,0.62,0.514
minicpm3-4B,0.157,0.36,0.757,0.329,0.086,0.114,0.129,0.091,0.157
h2o-danube-1.8b-sft,0.614,0.391,0.586,0.4,0.671,0.6,0.571,0.56,0.471
h2o-danube-1.8b-chat,0.6,0.534,0.657,0.494,0.657,0.629,0.617,0.654,0.657
h2o-danube2-1.8b-sft,0.414,0.389,0.686,0.449,0.686,0.657,0.571,0.606,0.629
h2o-danube2-1.8b-chat,0.514,0.58,0.643,0.477,0.729,0.757,0.671,0.654,0.7
h2o-danube3-500m-chat,0.629,0.363,0.243,0.463,0.629,0.586,0.606,0.6,0.571
h2o-danube3-4b-chat,0.486,0.351,0.657,0.531,0.743,0.614,0.431,0.503,0.514
smollm-135M-instruct,0.486,0.406,0.014,0.26,0.4,0.414,0.4,0.431,0.386
smollm-360M-instruct,0.686,0.649,0.029,0.411,0.629,0.629,0.663,0.494,0.629
smollm-1.7B-instruct,0.714,0.717,0.243,0.503,0.686,0.657,0.711,0.677,0.7
smollm2-135M-instruct,0.471,0.274,0.0,0.306,0.314,0.429,0.38,0.351,0.414
smollm2-360M-instruct,0.529,0.311,0.343,0.389,0.586,0.571,0.506,0.646,0.6
smollm2-1.7B-instruct,0.443,0.42,0.614,0.426,0.729,0.686,0.326,0.614,0.543
stablelm-2-zephyr-1_6b,0.614,0.517,0.743,0.457,0.729,0.729,0.543,0.64,0.629
