模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT
llama3_2_1b_instruct,,,,0.427,,,,,
llama3_2_3b_instruct,,,,0.553,,,,,
DeepSeek-R1-Distill-Qwen-1.5B,,,,0.12,,,,,
DeepSeek-R1-Distill-Qwen-7B,,,,0.32,,,,,
qwen_1_8b_chat,,,,0.273,,,,,
qwen_7b_chat,,,,0.41,,,,,
qwen1_5_0_5b_chat,,,,0.253,,,,,
qwen1_5_1_8b_chat,,,,0.45,,,,,
qwen1_5_4b_chat,,,,0.41,,,,,
qwen1_5_7b_chat,,,,0.57,,,,,
qwen2_0_5b_instruct,,,,0.203,,,,,
qwen2_1_5b_instruct,,,,0.353,,,,,
qwen2_7b_instruct,,,,0.527,,,,,
qwen2_5_0_5b_instruct,,,,0.257,,,,,
qwen2_5_1_5b_instruct,,,,0.43,,,,,
qwen2_5_3b_instruct,,,,0.473,,,,,
qwen2_5_7b_instruct,,,,0.527,,,,,
qwen3_0_6b,,,,,,,,,
qwen3_1_7b,,,,,,,,,
qwen3_4b,,,,,,,,,
qwen2_5_0_5b_instruct_gptq_int4,,,,,,,,,
qwen2_5_1_5b_instruct_gptq_int4,,,,,,,,,
qwen2_5_3b_instruct_gptq_int4,,,,,,,,,
qwen2_5_7b_instruct_gptq_int4,,,,,,,,,
qwen2_5_0_5b_instruct_gptq_int8,,,,,,,,,
qwen2_5_1_5b_instruct_gptq_int8,,,,,,,,,
qwen2_5_3b_instruct_gptq_int8,,,,,,,,,
qwen2_5_7b_instruct_gptq_int8,,,,,,,,,
qwen2_5_0_5b_instruct_awq,,,,,,,,,
qwen2_5_1_5b_instruct_awq,,,,,,,,,
qwen2_5_3b_instruct_awq,,,,,,,,,
qwen2_5_7b_instruct_awq,,,,,,,,,
gemma-2b-it,,,,0.28,,,,,
gemma-7b-it,,,,0.393,,,,,
gemma-1.1-2b-it,,,,0.28,,,,,
gemma-1.1-7b-it,,,,0.383,,,,,
gemma-2-2b-it,,,,0.52,,,,,
phi_3_mini_4k_instruct,,,,0.303,,,,,
phi_3_mini_128k_instruct,,,,0.387,,,,,
phi_3_5_mini_instruct,,,,0.42,,,,,
minicpm-1B-sft-bf16,,,,0.36,,,,,
minicpm-S-1B-sft,,,,0.323,,,,,
minicpm-2B-sft-bf16,,,,0.387,,,,,
minicpm-2B-dpo-bf16,,,,0.44,,,,,
minicpm3-4B,,,,0.453,,,,,
h2o-danube-1.8b-sft,,,,0.273,,,,,
h2o-danube-1.8b-chat,,,,0.367,,,,,
h2o-danube2-1.8b-sft,,,,0.29,,,,,
h2o-danube2-1.8b-chat,,,,0.36,,,,,
h2o-danube3-500m-chat,,,,0.377,,,,,
h2o-danube3-4b-chat,,,,0.637,,,,,
smollm-135M-instruct,,,,0.15,,,,,
smollm-360M-instruct,,,,0.353,,,,,
smollm-1.7B-instruct,,,,0.473,,,,,
smollm2-135M-instruct,,,,0.14,,,,,
smollm2-360M-instruct,,,,0.28,,,,,
smollm2-1.7B-instruct,,,,0.453,,,,,
stablelm-2-zephyr-1_6b,,,,0.417,,,,,
stablelm-2-1_6b-chat,,,,0.467,,,,,
stablelm-zephyr-3b,,,,0.413,,,,,
tinyllama-1.1B-chat-v0.1,,,,0.223,,,,,
tinyllama-1.1B-chat-v0.2,,,,0.177,,,,,
tinyllama-1.1B-chat-v0.3,,,,0.26,,,,,
tinyllama-1.1B-chat-v0.4,,,,0.357,,,,,
tinyllama-1.1B-chat-v0.5,,,,0.383,,,,,
tinyllama-1.1B-chat-v0.6,,,,0.403,,,,,
tinyllama-1.1B-chat-v1.0,,,,0.42,,,,,
mobilellama-1.4B-chat,,,,0.237,,,,,
mobilellama-2.7B-chat,,,,0.44,,,,,
mobillama-0.5B-chat,,,,0.257,,,,,
mobillama-1B-chat,,,,0.3,,,,,
fox-1-1.6B-Instruct-v0.1,,,,0.377,,,,,
dolly-v1-6b,,,,0.307,,,,,
dolly-v2-3b,,,,0.383,,,,,
dolly-v2-7b,,,,0.383,,,,,
OLMo-7B-SFT-hf,,,,0.483,,,,,
OLMo-7B-Instruct-hf,,,,0.52,,,,,
