攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,-0.396,0.0000,显著 (p<0.05),-0.552,0.0000,显著 (p<0.05),480.000,0.0023,显著 (p<0.05),14.010,0.0009,显著 (p<0.05)
AutoDAN,0.260,0.0078,显著 (p<0.05),0.363,0.0089,显著 (p<0.05),188.500,0.0133,显著 (p<0.05),5.353,0.0688,不显著
AutoPrompt,-0.206,0.0352,显著 (p<0.05),-0.314,0.0249,显著 (p<0.05),388.500,0.1891,不显著,10.589,0.0050,显著 (p<0.05)
PEZ,-0.296,0.0023,显著 (p<0.05),-0.428,0.0017,显著 (p<0.05),456.000,0.0094,显著 (p<0.05),10.378,0.0056,显著 (p<0.05)
UAT,-0.361,0.0002,显著 (p<0.05),-0.519,0.0001,显著 (p<0.05),458.500,0.0082,显著 (p<0.05),15.511,0.0004,显著 (p<0.05)
GBDA,-0.301,0.0020,显著 (p<0.05),-0.430,0.0016,显著 (p<0.05),433.000,0.0309,显著 (p<0.05),12.321,0.0021,显著 (p<0.05)
average,-0.193,0.0465,显著 (p<0.05),-0.287,0.0414,显著 (p<0.05),383.000,0.2272,不显著,7.786,0.0204,显著 (p<0.05)
HumanJailbreaks,-0.004,0.9676,不显著,-0.010,0.9432,不显著,281.500,0.4815,不显著,0.719,0.6979,不显著
PAP,0.084,0.3887,不显著,0.122,0.3936,不显著,267.000,0.3271,不显著,3.381,0.1844,不显著
GCG,0.001,0.9935,不显著,-0.013,0.9299,不显著,294.500,0.6474,不显著,4.053,0.1318,不显著
