攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,-0.173,0.0574,不显著,-0.263,0.0408,显著 (p<0.05),395.500,0.1435,不显著,3.264,0.1955,不显著
AutoDAN,0.359,0.0001,显著 (p<0.05),0.508,0.0000,显著 (p<0.05),168.500,0.0117,显著 (p<0.05),8.847,0.0120,显著 (p<0.05)
PEZ,-0.200,0.0270,显著 (p<0.05),-0.320,0.0121,显著 (p<0.05),439.500,0.0253,显著 (p<0.05),7.418,0.0245,显著 (p<0.05)
UAT,-0.258,0.0045,显著 (p<0.05),-0.376,0.0028,显著 (p<0.05),440.500,0.0241,显著 (p<0.05),11.551,0.0031,显著 (p<0.05)
GBDA,-0.244,0.0070,显著 (p<0.05),-0.356,0.0049,显著 (p<0.05),457.500,0.0106,显著 (p<0.05),11.637,0.0030,显著 (p<0.05)
HumanJailbreaks,0.041,0.6528,不显著,0.070,0.5916,不显著,303.000,0.8810,不显著,0.129,0.9375,不显著
PAP,0.137,0.1304,不显著,0.182,0.1596,不显著,266.000,0.4227,不显著,0.362,0.8344,不显著
GCG,0.051,0.5774,不显著,0.078,0.5524,不显著,283.000,0.6150,不显著,0.939,0.6253,不显著
AutoPrompt,-0.100,0.2712,不显著,-0.139,0.2859,不显著,345.000,0.5668,不显著,3.425,0.1804,不显著
average,-0.065,0.4726,不显著,-0.094,0.4706,不显著,346.000,0.5552,不显著,1.817,0.4032,不显著
