攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,-0.345,0.0004,显著 (p<0.05),-0.477,0.0002,显著 (p<0.05),497.500,0.0276,显著 (p<0.05),10.199,0.0061,显著 (p<0.05)
HumanJailbreaks,-0.329,0.0007,显著 (p<0.05),-0.463,0.0004,显著 (p<0.05),516.000,0.0118,显著 (p<0.05),5.262,0.0720,不显著
PEZ,-0.361,0.0002,显著 (p<0.05),-0.513,0.0001,显著 (p<0.05),491.000,0.0366,显著 (p<0.05),13.540,0.0011,显著 (p<0.05)
UAT,-0.217,0.0258,显著 (p<0.05),-0.332,0.0131,显著 (p<0.05),428.500,0.3055,不显著,6.764,0.0340,显著 (p<0.05)
GBDA,-0.213,0.0274,显著 (p<0.05),-0.309,0.0219,显著 (p<0.05),427.000,0.3181,不显著,5.563,0.0619,不显著
average,-0.234,0.0153,显著 (p<0.05),-0.351,0.0086,显著 (p<0.05),462.000,0.1106,不显著,4.426,0.1094,不显著
AutoDAN,0.050,0.6066,不显著,0.042,0.7609,不显著,413.000,0.4474,不显著,3.905,0.1419,不显著
PAP,-0.033,0.7351,不显著,-0.042,0.7605,不显著,368.500,1.0000,不显著,0.093,0.9547,不显著
GCG,0.060,0.5409,不显著,0.087,0.5267,不显著,339.500,0.6322,不显著,0.141,0.9321,不显著
AutoPrompt,-0.153,0.1171,不显著,-0.234,0.0853,不显著,429.000,0.3016,不显著,3.802,0.1494,不显著
