攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,0.456,0.0101,显著 (p<0.05),0.647,0.0037,显著 (p<0.05),12.000,0.0124,显著 (p<0.05),6.635,0.0362,显著 (p<0.05)
AutoDAN,0.525,0.0024,显著 (p<0.05),0.715,0.0009,显著 (p<0.05),10.000,0.0081,显著 (p<0.05),7.489,0.0236,显著 (p<0.05)
PAP,0.603,0.0005,显著 (p<0.05),0.770,0.0002,显著 (p<0.05),9.000,0.0062,显著 (p<0.05),9.158,0.0103,显著 (p<0.05)
GCG,0.546,0.0016,显著 (p<0.05),0.700,0.0012,显著 (p<0.05),14.500,0.0243,显著 (p<0.05),7.466,0.0239,显著 (p<0.05)
AutoPrompt,0.577,0.0009,显著 (p<0.05),0.754,0.0003,显著 (p<0.05),8.000,0.0047,显著 (p<0.05),8.565,0.0138,显著 (p<0.05)
PEZ,0.472,0.0063,显著 (p<0.05),0.658,0.0030,显著 (p<0.05),11.000,0.0104,显著 (p<0.05),6.788,0.0336,显著 (p<0.05)
UAT,0.603,0.0005,显著 (p<0.05),0.781,0.0001,显著 (p<0.05),5.500,0.0023,显著 (p<0.05),9.758,0.0076,显著 (p<0.05)
GBDA,0.577,0.0009,显著 (p<0.05),0.767,0.0002,显著 (p<0.05),8.000,0.0047,显著 (p<0.05),8.565,0.0138,显著 (p<0.05)
average,0.616,0.0004,显著 (p<0.05),0.754,0.0003,显著 (p<0.05),10.000,0.0081,显著 (p<0.05),7.635,0.0220,显著 (p<0.05)
HumanJailbreaks,0.066,0.7047,不显著,0.046,0.8547,不显著,40.000,1.0000,不显著,0.197,0.9062,不显著
