攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,0.455,0.0000,显著 (p<0.05),0.581,0.0000,显著 (p<0.05),179.500,0.0084,显著 (p<0.05),13.740,0.0010,显著 (p<0.05)
HumanJailbreaks,0.215,0.0161,显著 (p<0.05),0.308,0.0149,显著 (p<0.05),287.500,0.4190,不显著,4.088,0.1295,不显著
AutoDAN,0.439,0.0000,显著 (p<0.05),0.616,0.0000,显著 (p<0.05),211.500,0.0368,显著 (p<0.05),14.778,0.0006,显著 (p<0.05)
PAP,0.524,0.0000,显著 (p<0.05),0.687,0.0000,显著 (p<0.05),179.500,0.0086,显著 (p<0.05),17.210,0.0002,显著 (p<0.05)
GCG,0.379,0.0000,显著 (p<0.05),0.519,0.0000,显著 (p<0.05),236.500,0.0953,不显著,9.162,0.0102,显著 (p<0.05)
AutoPrompt,0.470,0.0000,显著 (p<0.05),0.642,0.0000,显著 (p<0.05),202.000,0.0246,显著 (p<0.05),19.173,0.0001,显著 (p<0.05)
PEZ,0.442,0.0000,显著 (p<0.05),0.600,0.0000,显著 (p<0.05),186.500,0.0121,显著 (p<0.05),14.925,0.0006,显著 (p<0.05)
UAT,0.476,0.0000,显著 (p<0.05),0.624,0.0000,显著 (p<0.05),194.500,0.0175,显著 (p<0.05),15.871,0.0004,显著 (p<0.05)
GBDA,0.536,0.0000,显著 (p<0.05),0.706,0.0000,显著 (p<0.05),163.000,0.0037,显著 (p<0.05),21.578,0.0000,显著 (p<0.05)
average,0.486,0.0000,显著 (p<0.05),0.641,0.0000,显著 (p<0.05),198.000,0.0206,显著 (p<0.05),18.287,0.0001,显著 (p<0.05)
