攻击方法,Kendall相关系数,Kendall p值,Kendall显著性,Spearman相关系数,Spearman p值,Spearman显著性,Mann-Whitney统计量,Mann-Whitney p值,Mann-Whitney显著性,Kruskal-Wallis统计量,Kruskal-Wallis p值,Kruskal-Wallis显著性
DirectRequest,0.269,0.0056,显著 (p<0.05),0.387,0.0032,显著 (p<0.05),303.500,0.1839,不显著,11.054,0.0040,显著 (p<0.05)
HumanJailbreaks,0.218,0.0225,显著 (p<0.05),0.329,0.0132,显著 (p<0.05),296.000,0.1474,不显著,7.156,0.0279,显著 (p<0.05)
AutoDAN,0.239,0.0128,显著 (p<0.05),0.351,0.0080,显著 (p<0.05),282.500,0.0944,不显著,4.398,0.1109,不显著
AutoPrompt,0.182,0.0571,不显著,0.271,0.0431,显著 (p<0.05),343.500,0.5077,不显著,3.011,0.2219,不显著
PEZ,0.301,0.0016,显著 (p<0.05),0.437,0.0008,显著 (p<0.05),277.500,0.0792,不显著,7.699,0.0213,显著 (p<0.05)
UAT,0.306,0.0015,显著 (p<0.05),0.450,0.0005,显著 (p<0.05),279.000,0.0834,不显著,6.244,0.0441,显著 (p<0.05)
GBDA,0.216,0.0234,显著 (p<0.05),0.322,0.0154,显著 (p<0.05),314.000,0.2498,不显著,3.415,0.1813,不显著
average,0.265,0.0054,显著 (p<0.05),0.393,0.0027,显著 (p<0.05),292.000,0.1298,不显著,5.968,0.0506,不显著
PAP,0.163,0.0874,不显著,0.230,0.0884,不显著,357.500,0.6668,不显著,2.390,0.3027,不显著
GCG,0.133,0.1671,不显著,0.196,0.1474,不显著,364.000,0.7466,不显著,2.687,0.2610,不显著
