模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT,average
llama3_2_1b_instruct,0.114,0.023,0.114,0.171,0.114,0.029,0.043,0.057,0.043,0.07866666666666668
llama3_2_3b_instruct,0.2,0.077,0.057,0.211,0.2,0.071,0.103,0.111,0.2,0.13666666666666666
DeepSeek-R1-Distill-Qwen-1.5B,0.2,0.154,0.086,0.091,0.143,0.114,0.091,0.2,0.157,0.13733333333333334
DeepSeek-R1-Distill-Qwen-7B,0.2,0.166,0.243,0.177,0.343,0.286,0.183,0.191,0.2,0.221
qwen_1_8b_chat,0.086,0.097,0.186,0.2,0.214,0.2,0.191,0.234,0.114,0.1691111111111111
qwen_7b_chat,0.057,0.166,0.229,0.123,0.386,0.371,0.114,0.16,0.257,0.207
qwen1_5_0_5b_chat,0.071,0.117,0.143,0.191,0.286,0.257,0.271,0.266,0.286,0.20977777777777779
qwen1_5_1_8b_chat,0.343,0.211,0.3,0.294,0.443,0.414,0.371,0.36,0.429,0.3516666666666667
qwen1_5_4b_chat,0.1,0.151,0.329,0.231,0.329,0.314,0.111,0.234,0.2,0.2221111111111111
qwen1_5_7b_chat,0.129,0.277,0.5,0.237,0.4,0.371,0.146,0.189,0.186,0.2705555555555555
qwen2_0_5b_instruct,0.071,0.117,0.243,0.166,0.3,0.329,0.174,0.28,0.2,0.20888888888888887
qwen2_1_5b_instruct,0.071,0.097,0.314,0.203,0.343,0.2,0.094,0.22,0.171,0.19033333333333335
qwen2_7b_instruct,0.114,0.151,0.414,0.226,0.271,0.2,0.111,0.103,0.143,0.19255555555555556
qwen2_5_0_5b_instruct,0.114,0.077,0.329,0.203,0.314,0.286,0.151,0.26,0.229,0.21811111111111114
qwen2_5_1_5b_instruct,0.043,0.103,0.429,0.177,0.229,0.157,0.034,0.229,0.143,0.17155555555555557
qwen2_5_3b_instruct,0.043,0.183,0.414,0.243,0.329,0.171,0.074,0.151,0.186,0.19933333333333333
qwen2_5_7b_instruct,0.114,0.226,0.386,0.214,0.357,0.3,0.111,0.1,0.157,0.21833333333333335
gemma-2b-it,0.114,0.006,0.043,0.2,0.071,0.1,0.049,0.077,0.114,0.086
gemma-7b-it,0.2,0.089,0.214,0.203,0.1,0.071,0.057,0.063,0.129,0.12511111111111112
gemma-1.1-2b-it,0.143,0.026,0.071,0.2,0.057,0.057,0.1,0.089,0.057,0.08888888888888889
gemma-1.1-7b-it,0.071,0.106,0.343,0.171,0.129,0.114,0.12,0.146,0.086,0.14288888888888893
gemma-2-2b-it,0.1,0.211,0.471,0.14,0.229,0.071,0.083,0.077,0.1,0.16466666666666666
phi_3_mini_4k_instruct,0.114,0.091,0.114,0.157,0.271,0.129,0.103,0.106,0.043,0.12533333333333332
phi_3_mini_128k_instruct,0.057,0.166,0.171,0.166,0.243,0.114,0.086,0.117,0.114,0.13711111111111113
phi_3_5_mini_instruct,0.071,0.146,0.157,0.174,0.286,0.129,0.109,0.123,0.129,0.14711111111111108
minicpm-1B-sft-bf16,0.171,0.197,0.414,0.214,0.143,0.157,0.083,0.091,0.057,0.16966666666666666
minicpm-S-1B-sft,0.143,0.24,0.429,0.189,0.086,0.143,0.097,0.097,0.057,0.16455555555555554
minicpm-2B-sft-bf16,0.114,0.183,0.371,0.226,0.129,0.143,0.1,0.134,0.129,0.16988888888888887
minicpm-2B-dpo-bf16,0.257,0.306,0.457,0.249,0.3,0.329,0.237,0.24,0.243,0.29088888888888886
minicpm3-4B,0.086,0.223,0.314,0.163,0.086,0.057,0.069,0.057,0.029,0.12044444444444445
h2o-danube-1.8b-sft,0.314,0.217,0.3,0.211,0.314,0.314,0.306,0.286,0.314,0.2862222222222222
h2o-danube-1.8b-chat,0.271,0.286,0.329,0.274,0.357,0.3,0.371,0.357,0.357,0.3224444444444445
h2o-danube2-1.8b-sft,0.229,0.229,0.286,0.226,0.343,0.314,0.303,0.346,0.271,0.283
h2o-danube2-1.8b-chat,0.371,0.297,0.4,0.266,0.286,0.386,0.326,0.334,0.386,0.33911111111111114
h2o-danube3-500m-chat,0.357,0.217,0.129,0.297,0.329,0.4,0.334,0.371,0.286,0.3022222222222222
h2o-danube3-4b-chat,0.229,0.209,0.257,0.283,0.443,0.429,0.271,0.266,0.329,0.3017777777777778
smollm-135M-instruct,0.257,0.214,0.0,0.16,0.229,0.314,0.243,0.257,0.171,0.20500000000000002
