模型,DirectRequest,HumanJailbreaks,AutoDAN,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT
llama3_2_1b_instruct,0.02,0.028,0.12,0.28,0.3,0.1,0.012,0.04,0.06
llama3_2_3b_instruct,0.04,0.032,0.0,0.384,0.72,0.28,0.06,0.048,0.08
DeepSeek-R1-Distill-Qwen-1.5B,0.54,0.42,0.42,0.228,0.42,0.36,0.292,0.38,0.48
DeepSeek-R1-Distill-Qwen-7B,0.6,0.532,0.6,0.312,0.72,0.5,0.436,0.504,0.48
qwen_1_8b_chat,0.0,0.172,0.36,0.336,0.42,0.3,0.328,0.564,0.24
qwen_7b_chat,0.0,0.28,0.44,0.22,0.66,0.56,0.128,0.22,0.2
qwen1_5_0_5b_chat,0.02,0.172,0.4,0.316,0.6,0.52,0.572,0.596,0.46
qwen1_5_1_8b_chat,0.52,0.476,0.88,0.468,0.58,0.62,0.668,0.692,0.68
qwen1_5_4b_chat,0.0,0.256,0.76,0.332,0.7,0.48,0.136,0.376,0.4
qwen1_5_7b_chat,0.02,0.592,0.88,0.364,0.68,0.62,0.204,0.232,0.34
qwen2_0_5b_instruct,0.04,0.084,0.6,0.316,0.66,0.44,0.408,0.54,0.54
qwen2_1_5b_instruct,0.02,0.072,0.76,0.3,0.54,0.44,0.02,0.384,0.14
qwen2_7b_instruct,0.0,0.136,0.74,0.32,0.36,0.14,0.024,0.024,0.02
qwen2_5_0_5b_instruct,0.02,0.104,0.66,0.344,0.62,0.48,0.36,0.536,0.46
qwen2_5_1_5b_instruct,0.0,0.16,0.76,0.284,0.64,0.42,0.008,0.428,0.36
qwen2_5_3b_instruct,0.0,0.256,0.84,0.352,0.6,0.26,0.056,0.22,0.18
qwen2_5_7b_instruct,0.0,0.328,0.78,0.344,0.66,0.3,0.16,0.288,0.26
gemma-2b-it,0.02,0.0,0.02,0.308,0.28,0.28,0.348,0.324,0.34
gemma-7b-it,0.04,0.108,0.3,0.308,0.14,0.08,0.112,0.164,0.02
gemma-1.1-2b-it,0.06,0.012,0.02,0.296,0.32,0.28,0.464,0.48,0.48
gemma-1.1-7b-it,0.0,0.044,0.42,0.224,0.22,0.26,0.12,0.168,0.06
gemma-2-2b-it,0.0,0.352,0.96,0.244,0.44,0.06,0.024,0.04,0.08
phi_3_mini_4k_instruct,0.0,0.056,0.0,0.172,0.34,0.06,0.048,0.096,0.06
phi_3_mini_128k_instruct,0.0,0.2,0.12,0.18,0.3,0.14,0.052,0.072,0.0
phi_3_5_mini_instruct,0.0,0.136,0.02,0.236,0.3,0.04,0.056,0.088,0.04
minicpm-1B-sft-bf16,0.08,0.464,0.76,0.364,0.14,0.22,0.732,0.928,0.82
minicpm-S-1B-sft,0.08,0.444,0.66,0.332,0.12,0.14,0.784,0.556,0.58
minicpm-2B-sft-bf16,0.12,0.464,0.82,0.364,0.0,0.06,0.636,0.464,0.2
minicpm-2B-dpo-bf16,0.46,0.648,0.8,0.44,0.42,0.46,0.884,0.708,0.5
minicpm3-4B,0.14,0.384,0.84,0.26,0.1,0.1,0.072,0.036,0.08
h2o-danube-1.8b-sft,0.76,0.484,0.74,0.388,0.68,0.64,0.568,0.564,0.54
h2o-danube-1.8b-chat,0.68,0.608,0.8,0.456,0.7,0.64,0.648,0.676,0.68
h2o-danube2-1.8b-sft,0.4,0.444,0.82,0.404,0.74,0.64,0.664,0.66,0.7
h2o-danube2-1.8b-chat,0.68,0.632,0.68,0.436,0.78,0.74,0.732,0.68,0.7
h2o-danube3-500m-chat,0.7,0.264,0.04,0.448,0.62,0.52,0.708,0.648,0.66
h2o-danube3-4b-chat,0.4,0.38,0.84,0.476,0.76,0.68,0.368,0.48,0.54
smollm-135M-instruct,0.54,0.404,0.02,0.264,0.42,0.52,0.492,0.476,0.44
