模型,DirectRequest,HumanJailbreaks,PAP,GCG,AutoPrompt,PEZ,GBDA,UAT
llama2_7b,0.0,0.04,0.0,0.32,0.08,0.0,0.0,0.04
vicuna_7b_v1_5,0.1,0.92,0.78,0.8,0.72,0.2,0.12,0.4
qwen_1_8b_chat,0.0,0.62,0.74,0.42,0.3,0.66,0.84,0.24
qwen_7b_chat,0.0,0.76,0.58,0.66,0.56,0.4,0.48,0.2
qwen1_5_0_5b_chat,0.02,0.5,0.68,0.6,0.52,0.82,0.86,0.46
qwen1_5_1_8b_chat,0.52,0.82,0.8,0.58,0.62,0.84,0.88,0.68
qwen1_5_4b_chat,0.0,0.7,0.76,0.7,0.48,0.46,0.7,0.4
qwen1_5_7b_chat,0.02,1.0,0.78,0.68,0.62,0.58,0.54,0.34
qwen2_0_5b_instruct,0.04,0.28,0.68,0.66,0.44,0.72,0.82,0.54
qwen2_1_5b_instruct,0.02,0.26,0.66,0.54,0.44,0.1,0.7,0.14
qwen2_7b_instruct,0.0,0.48,0.72,0.36,0.14,0.1,0.04,0.02
qwen2_5_0_5b_instruct,0.02,0.4,0.72,0.62,0.48,0.76,0.86,0.46
qwen2_5_1_5b_instruct,0.0,0.6,0.7,0.64,0.42,0.04,0.72,0.36
qwen2_5_3b_instruct,0.0,0.7,0.76,0.6,0.26,0.22,0.54,0.18
qwen2_5_7b_instruct,0.0,0.82,0.76,0.66,0.3,0.54,0.72,0.26
phi_1_5,0.3,0.74,0.42,,,,,
phi_2,0.76,0.88,0.6,,,,,
phi_3_mini_4k_instruct,0.0,0.32,0.46,0.48,0.02,0.12,0.2,0.0
phi_3_mini_128k_instruct,0.0,0.72,0.5,0.44,0.08,0.06,0.06,0.0
phi_3_small_8k_instruct,0.0,0.3,0.36,,,,,
phi_3_small_128k_instruct,0.0,0.24,0.48,,,,,
phi_3_5_mini_instruct,0.0,0.46,0.62,0.26,0.12,0.2,0.24,0.08
stablelm-2-zephyr-1_6b,0.66,0.92,0.82,0.7,0.76,0.62,0.8,0.68
stablelm-2-1_6b-chat,0.86,0.94,0.78,0.7,0.72,0.8,0.92,0.68
stablelm-zephyr-3b,0.14,0.96,0.76,0.62,0.52,0.68,0.76,0.32
tinyllama-1.1B-chat-v0.1,0.76,0.74,0.84,0.58,0.56,0.9,0.92,
tinyllama-1.1B-chat-v0.2,0.44,0.6,0.58,0.3,0.34,0.66,0.6,
tinyllama-1.1B-chat-v0.3,0.76,0.72,0.7,0.5,0.44,0.86,0.84,
tinyllama-1.1B-chat-v0.4,0.66,0.86,0.74,0.64,0.52,0.86,0.88,
tinyllama-1.1B-chat-v0.5,0.72,0.74,0.76,0.64,0.48,0.88,0.9,
tinyllama-1.1B-chat-v0.6,0.68,0.9,0.8,0.56,0.64,0.92,0.86,
tinyllama-1.1B-chat-v1.0,0.72,0.92,0.82,0.7,0.72,0.88,0.88,0.7
mobillama-0.5B-chat,0.54,0.08,0.56,0.58,0.62,0.8,0.86,0.64
mobillama-1B-chat,0.54,0.26,0.74,0.52,0.48,0.74,0.82,0.56
